Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Light Heavyweight Bout,KO/TKO,2,4:29,5 Rnd (5-5-5-5-5),Herb Dean,"Elbow to Head At Distance
      Spinning Back Elbow",Jiri Prochazka,Dominick Reyes,Jiri Prochazka,63 of 108,77 of 136,58%,56%,68 of 114,78 of 137
Featherweight Bout,KO/TKO,1,1:03,3 Rnd (5-5-5),Jason Herzog,Kick to Body At Distance,Giga Chikadze,Giga Chikadze,Cub Swanson,12 of 18,4 of 6,66%,66%,12 of 18,4 of 6
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Dave Hagen28 - 29.Rick Winter29 - 28.Tony Weeks28 - 28.,draw,Ion Cutelaba,Dustin Jacoby,71 of 152,84 of 148,46%,56%,111 of 201,100 of 164
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato27 - 30.Junichiro Kamijo27 - 30.Adalaide Byrd28 - 29.,Sean Strickland,Sean Strickland,Krzysztof Jotko,84 of 182,37 of 196,46%,18%,84 of 182,37 of 196
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell27 - 30.Sal D'amato28 - 29.Rick Winter28 - 29.,Merab Dvalishvili,Merab Dvalishvili,Cody Stamann,71 of 192,48 of 134,36%,35%,178 of 306,73 of 163
Women's Strawweight Bout,DQ,1,4:16,3 Rnd (5-5-5),Mark Smith,Illegal Upkick,Luana Pinheiro,Randa Markos,Luana Pinheiro,18 of 40,29 of 53,45%,54%,28 of 51,35 of 61
Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Adalaide Byrd30 - 27.Sal D'amato28 - 29.Mike Bell28 - 29.,TJ Brown,Kai Kamaka,TJ Brown,61 of 128,82 of 211,47%,38%,85 of 155,110 of 243
Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Dave Hagen28 - 29.Sal D'amato29 - 28.Junichiro Kamijo28 - 29.,Luana Carolina,Poliana Botelho,Luana Carolina,34 of 57,25 of 46,59%,54%,87 of 112,100 of 130
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Dave Hagen28 - 29.Junichiro Kamijo28 - 29.,Loma Lookboonmee,Loma Lookboonmee,Sam Hughes,84 of 124,49 of 73,67%,67%,108 of 149,98 of 126
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Rick Winter27 - 30.Tony Weeks27 - 30.Eric Colon28 - 29.,Andreas Michailidis,Andreas Michailidis,KB Bhullar,73 of 137,70 of 131,53%,53%,75 of 139,71 of 132
